mjd,r,i,g,z,V,u
55676.61311311311,17.801849733022532,17.913528147988515,17.80431379588174,18.081648330649696,17.673484671703907,18.29988983637374
55676.74124124124,17.800453953451914,17.912114602017624,17.803140565645325,18.080122316431506,17.672228066029895,18.298922694182945
55676.86936936937,17.7991042360308,17.910745422702846,17.80201906567143,18.078636935123495,17.67102033040256,18.298011266780787
55676.9974974975,17.797800355948826,17.909420393095623,17.800949085726852,18.077191972466544,17.669861253029374,18.29715537156094
55677.125625625624,17.79654209102778,17.908139298608123,17.799930418966955,18.07578721613502,17.66875062505696,18.296354829888227
55677.25375375376,17.79532922166361,17.906901926960494,17.798962861868745,18.0744224556927,17.667688240509897,18.29560946703146
55677.38188188188,17.794161530770374,17.905708068129865,17.79804621416623,18.073097482550274,17.66667389623135,18.294919112098825
55677.51001001001,17.793038803723984,17.904557514299174,17.79718027878594,18.07181208992243,17.665707391823744,18.294283597973454
55677.638138138136,17.791960828308248,17.903450059807945,17.796364861784685,18.070566072786796,17.664788529591494,18.29370276125165
55677.76626626627,17.790927394661356,17.902385501103602,17.795599772288394,18.069359227843183,17.663917114484683,18.293176442182077
55677.894394394396,17.789938295223934,17.90136363669406,17.794884822432454,18.068191353474127,17.663092954043996,18.292704484606784
55678.02252252252,17.78899332468753,17.900384267100712,17.794219827302904,18.067062249705426,17.662315858346346,18.292286735903296
55678.15065065065,17.788092279944678,17.899447194812815,17.793604604879366,18.06597171816825,17.661585639952087,18.29192304692846
55678.27877877878,17.787234960039513,17.898552224242376,17.7930389759787,18.064919562061288,17.660902113852885,18.291613271963275
55678.40690690691,17.78642116611991,17.897699161680507,17.792522764200385,18.063905586114508,17.660265097421032,18.29135726865949
55678.535035035035,17.78565070138981,17.89688781525365,17.792055795872518,18.0629295965526,17.659674410359194,18.291154897987255
55678.66316316316,17.784923371063087,17.896117994881454,17.7916378999991,18.061991401059775,17.659129874651526,18.291006024183755
55678.791291291294,17.78423898231788,17.895389512234985,17.79126890820844,18.061090808745043,17.658631314515493,18.29091051470355
55678.91941941942,17.78359734425221,17.894702180696004,17.79094865470268,18.060227630108304,17.65817855635492,18.290868240169935
55679.04754754755,17.78299826783993,17.89405581531664,17.79067697620801,18.059401677006797,17.6577714287134,18.290879074327155
55679.17567567567,17.782441565887904,17.89345023278003,17.790453711926226,18.05861276262234,17.657409762229094,18.29094289399435
55679.30380380381,17.78192705299368,17.892885251361616,17.790278703486912,18.057860701429178,17.657093389589804,18.291059579019784
55679.43193193193,17.781454545504403,17.892360690891277,17.790151794901014,18.057145309162717,17.656822145489627,18.29122901223709
55679.56006006006,17.781023861475763,17.891876372715746,17.790072832514653,18.056466402788182,17.65659586658548,18.291451079421634
55679.688188188185,17.78063482063238,17.89143211966212,17.79004166496443,18.055823800470442,17.656414391455076,18.291725669248567
55679.81631631632,17.78028724432845,17.89102775600171,17.790058143133297,18.055217321544227,17.65627756055534,18.292052673251646
55679.944444444445,17.77998095550937,17.890663107414756,17.790122120107196,18.05464678648485,17.65618521618163,18.292431985782653
55680.07257257257,17.779715778673776,17.89033800095547,17.790233451132625,18.0541120168794,17.656137202427626,18.292863503972562
